1. ZACHODNIOPOMORSKIE; białogardzki; powiat
2. ZACHODNIOPOMORSKIE; Białogard; gmina miejska
3. ZACHODNIOPOMORSKIE; Białogard; gmina wiejska
4. ZACHODNIOPOMORSKIE; Karlino; gmina miejsko-wiejska
5. ZACHODNIOPOMORSKIE; Karlino; miasto
6. ZACHODNIOPOMORSKIE; Karlino; obszar wiejski
7. ZACHODNIOPOMORSKIE; Tychowo; gmina miejsko-wiejska
8. ZACHODNIOPOMORSKIE; Tychowo; miasto
9. ZACHODNIOPOMORSKIE; Tychowo; obszar wiejski
10. ZACHODNIOPOMORSKIE; choszczeński; powiat
11. ZACHODNIOPOMORSKIE; Bierzwnik; gmina wiejska
12. ZACHODNIOPOMORSKIE; Choszczno; gmina miejsko-wiejska
13. ZACHODNIOPOMORSKIE; Choszczno; miasto
14. ZACHODNIOPOMORSKIE; Choszczno; obszar wiejski
15. ZACHODNIOPOMORSKIE; Drawno; gmina miejsko-wiejska
16. ZACHODNIOPOMORSKIE; Drawno; miasto
17. ZACHODNIOPOMORSKIE; Drawno; obszar wiejski
18. ZACHODNIOPOMORSKIE; Krzęcin; gmina wiejska
19. ZACHODNIOPOMORSKIE; Pełczyce; gmina miejsko-wiejska
20. ZACHODNIOPOMORSKIE; Pełczyce; miasto
21. ZACHODNIOPOMORSKIE; Pełczyce; obszar wiejski
22. ZACHODNIOPOMORSKIE; Recz; gmina miejsko-wiejska
23. ZACHODNIOPOMORSKIE; Recz; miasto
24. ZACHODNIOPOMORSKIE; Recz; obszar wiejski
25. ZACHODNIOPOMORSKIE; drawski; powiat
26. ZACHODNIOPOMORSKIE; Czaplinek; gmina miejsko-wiejska
27. ZACHODNIOPOMORSKIE; Czaplinek; miasto
28. ZACHODNIOPOMORSKIE; Czaplinek; obszar wiejski
29. ZACHODNIOPOMORSKIE; Drawsko Pomorskie; gmina miejsko-wiejska
30. ZACHODNIOPOMORSKIE; Drawsko Pomorskie; miasto
31. ZACHODNIOPOMORSKIE; Drawsko Pomorskie; obszar wiejski
32. ZACHODNIOPOMORSKIE; Kalisz Pomorski; gmina miejsko-wiejska
33. ZACHODNIOPOMORSKIE; Kalisz Pomorski; miasto
34. ZACHODNIOPOMORSKIE; Kalisz Pomorski; obszar wiejski
35. ZACHODNIOPOMORSKIE; Wierzchowo; gmina wiejska
36. ZACHODNIOPOMORSKIE; Złocieniec; gmina miejsko-wiejska
37. ZACHODNIOPOMORSKIE; Złocieniec; miasto
38. ZACHODNIOPOMORSKIE; Złocieniec; obszar wiejski
39. ZACHODNIOPOMORSKIE; goleniowski; powiat
